state_id,suite,phase,episode,frac_tokens_lawm_better_than_nochange,mse_pred_global,mse_trivial_global,lawm_better_on_mse,U_median,G_median,D_median,sum_sq_err_pred,sum_sq_err_trivial,q0_G_median,q0_U_median,q0_D_median,q0_frac_better,q0_S_median,q1_G_median,q1_U_median,q1_D_median,q1_frac_better,q1_S_median,q2_G_median,q2_U_median,q2_D_median,q2_frac_better,q2_S_median,q3_G_median,q3_U_median,q3_D_median,q3_frac_better,q3_S_median
libero_object_t00_ep004_s0024_approach,libero_object,approach,libero_object_t0_ep4,0.13671875,0.05536498670152205,0.08771464751726922,True,5.616526717663735,1.5906836646353235,5.415205880525329,10885.19930541285,17245.401419075268,1.0550113835780206,4.788996042719936,4.568580292447033,0.0,1.0941531058961118e-06,1.3763393355779634,4.9044357497530715,4.719595467283783,0.0,6.9885418270132504e-06,1.955662344891863,5.5329715654837965,5.212996994474541,0.0,6.6240936575923115e-06,8.370297619787369,8.404003474137257,11.16841928630859,0.546875,1.9742746189876925e-05
libero_object_t00_ep004_s0048_pre_grasp,libero_object,pre_grasp,libero_object_t0_ep4,0.16796875,0.059695150983326783,0.07019914599186515,True,5.710284562620107,1.7853832132471275,5.676136825933872,11736.54424452991,13801.713695168624,0.9643294265938749,5.063266109935371,5.165025371469946,0.0,2.598810624476755e-06,1.3945434021973564,5.27954878296597,5.457269673945635,0.0,4.3223592456342885e-06,2.3449175568460747,5.128755699630624,4.79720984236105,0.0,1.2490841982071288e-05,12.95778893785975,8.821085316229006,11.464043745650887,0.671875,3.0277055884653237e-05
libero_object_t00_ep004_s0064_manipulation,libero_object,manipulation,libero_object_t0_ep4,0.19921875,0.06546508381711977,0.16382100821929896,True,5.961725918196735,2.262393885624634,5.771143391912785,12870.959199116283,32208.520783979926,1.452006426313349,5.155676366853897,5.079733403372012,0.0,1.770198650774546e-06,1.9345973990005128,5.237070039959875,5.29151580976164,0.0,5.642611995426705e-06,3.305479067880542,5.648426587341618,5.222633528953551,0.015625,1.0096234291268047e-05,20.494625774612054,8.883462472152313,19.835449741010308,0.78125,2.115093138854718e-05
libero_object_t00_ep005_s0024_approach,libero_object,approach,libero_object_t0_ep5,0.15625,0.05621086975698999,0.10530037089451433,True,5.575679792818073,1.666059981311665,5.50023895525662,11051.506681182287,20702.895320828673,1.1096368344486223,4.712252546273984,4.713181935145743,0.0,1.1607394299062435e-06,1.433840794072193,4.80260801110597,4.796747923459851,0.0,7.226775551316678e-06,2.001355047226653,5.033018635377552,4.973875320377088,0.0,7.678194833715679e-06,10.589319361189967,8.552206253691251,12.422078836758597,0.625,1.909027105284622e-05
libero_object_t00_ep005_s0048_pre_grasp,libero_object,pre_grasp,libero_object_t0_ep5,0.09375,0.048759182759251646,0.027961476894728523,False,4.935554253158672,1.3149536504856243,5.047291168761314,9586.445403930946,5497.450049318786,0.8845186766014843,4.321726774212167,4.320478875811059,0.0,2.994667852362909e-06,1.11734478003381,4.264143333911795,4.599027355745722,0.0,6.959105348869343e-06,1.6614746227041892,4.385714809564886,4.622191303813324,0.0,8.486134902341291e-06,7.038308305580889,8.276176242408905,9.425267950535728,0.375,3.1921768822940066e-05
libero_object_t00_ep005_s0064_manipulation,libero_object,manipulation,libero_object_t0_ep5,0.20703125,0.05869035251245419,0.14185451913577074,True,5.438479031912194,2.2535820055431266,5.749935529854269,11538.992826768592,27889.733298245603,1.3141393111446078,4.806430895903999,4.969379564195535,0.0,3.6058364685231936e-06,1.7976423085917261,4.700156941106959,4.993735486096272,0.0,9.233133823727258e-06,2.9684744026155903,5.105527021482086,5.225218360311816,0.015625,9.963914180843858e-06,19.708304155516835,9.024489135328544,18.6538515966162,0.8125,1.6824990780150983e-05
libero_object_t00_ep006_s0024_approach,libero_object,approach,libero_object_t0_ep6,0.16015625,0.053772030531758275,0.11296483185744606,True,5.317837776519401,1.9362929239394975,5.228385591224718,10572.01137878793,22209.78966182876,1.2236539274054672,4.718108566474079,4.541897057732232,0.0,1.1777844974858453e-06,1.6937651226143413,4.5292387069166935,4.332076176067172,0.0,6.11313157605764e-06,2.308432109422862,5.3831884352427055,5.161731536062071,0.0,7.4659233177953865e-06,13.82105564164511,8.222435284106936,10.839332848170324,0.640625,1.6198163393710274e-05
libero_object_t00_ep006_s0048_pre_grasp,libero_object,pre_grasp,libero_object_t0_ep6,0.171875,0.06777512521117272,0.0791384910597884,True,5.9991281825724405,1.7268304929732026,5.926342196780803,13325.131817518246,15559.260450282876,1.1255441665049597,5.197779602432696,5.356069202494101,0.0,2.7286291697237175e-06,1.4869867357396336,5.244390032560228,5.366497066867001,0.0,5.353054120860179e-06,2.3490827790606454,5.516124587804025,5.461446778680841,0.0,6.881727131258231e-06,12.642693648497122,9.245086998174578,12.28109284642219,0.6875,2.6630732463672757e-05
libero_object_t00_ep006_s0064_manipulation,libero_object,manipulation,libero_object_t0_ep6,0.1953125,0.06646793379314675,0.15704582210522142,True,5.470686329903106,2.139620472307544,5.435665106837762,13068.127527202998,30876.464992463374,1.2477831448968628,4.6118994199050505,4.669220735250536,0.0,2.289715666847769e-06,1.7575389897076548,4.547103373726347,4.446903474661559,0.0,8.871164936863352e-06,2.8760401354667957,5.238089303057997,5.393439374249716,0.0,1.1168926448590355e-05,20.74182001924516,9.338052803855877,20.143021448390805,0.78125,1.9270159100415185e-05
libero_object_t00_ep007_s0024_approach,libero_object,approach,libero_object_t0_ep7,0.15625,0.05650537895901225,0.09998951877783957,True,5.605095354804416,1.7890731078819506,5.564447431927604,11109.409546373483,19658.739307873475,1.1491356761441982,4.764075588751677,4.593179561338299,0.0,1.5686380265833577e-06,1.5715436756499839,4.821083466866648,4.7809522853681745,0.0,5.028247642258066e-06,2.1114949158314955,5.43927330959,5.176401053340479,0.0,8.795330359134823e-06,12.885668291906072,7.973406434270711,11.776138408835273,0.625,1.6377375686715823e-05
libero_object_t00_ep007_s0048_pre_grasp,libero_object,pre_grasp,libero_object_t0_ep7,0.15625,0.06161608162445214,0.06735944776403806,True,5.579357208201007,1.7803173061717863,5.496217407597905,12114.214576020286,13243.406305991994,1.13508397999153,4.758437971832233,4.60607235067614,0.0,2.7195014808967244e-06,1.5401270917549388,4.965182551527698,4.771372547076519,0.0,4.340939312896808e-06,2.2085954576653375,5.112652271326105,4.861160805278329,0.0,8.351487394975265e-06,11.23919204446792,9.248112789889408,11.756950886065468,0.625,2.703438076423481e-05
libero_object_t00_ep007_s0064_manipulation,libero_object,manipulation,libero_object_t0_ep7,0.20703125,0.06396062492573616,0.16260687034153945,True,5.464261177854066,2.080463229347373,5.626454467527303,12575.170545399133,31969.81156410939,1.3588577646670705,4.39510442490481,4.526862789568678,0.0,2.238230194961943e-06,1.8731174881599906,5.018490665605436,5.28503264237798,0.0,4.192977939965203e-06,2.903229499112978,5.514250672117122,5.427824459444021,0.03125,6.931641109986231e-06,21.512903990845302,9.199518694358833,20.901884163529242,0.796875,1.4478954653895926e-05
